time,cpu %,memory %
2024-07-07 10:09:36,78.48,0.17
2024-07-07 10:09:40,0.02,0.17
2024-07-07 10:09:44,0.03,0.17
2024-07-07 10:09:48,0.02,0.18
2024-07-07 10:09:52,90.03,0.17
2024-07-07 10:09:56,89.44,0.17
2024-07-07 10:10:00,85.92,0.18
2024-07-07 10:10:04,93.09,0.18
2024-07-07 10:10:08,70.50,0.18
2024-07-07 10:10:12,62.22,0.18
2024-07-07 10:10:16,88.81,0.17
2024-07-07 10:10:20,0.01,0.17
2024-07-07 10:10:24,0.02,0.17
2024-07-07 10:10:28,0.02,0.17
2024-07-07 10:10:32,69.90,0.18
2024-07-07 10:10:36,91.52,0.18
2024-07-07 10:10:40,78.92,0.17
2024-07-07 10:10:44,72.34,0.17
2024-07-07 10:10:48,54.95,0.17
2024-07-07 10:10:52,84.73,0.18
2024-07-07 10:10:56,80.00,0.17
2024-07-07 10:11:00,71.20,0.17
2024-07-07 10:11:04,0.03,0.17
2024-07-07 10:11:08,0.02,0.17
2024-07-07 10:11:12,0.07,0.18
2024-07-07 10:11:16,70.34,0.18
2024-07-07 10:11:20,79.06,0.18
2024-07-07 10:11:24,67.56,0.17
2024-07-07 10:11:28,71.83,0.17
2024-07-07 10:11:32,69.28,0.17
2024-07-07 10:11:36,86.50,0.18
2024-07-07 10:11:40,86.91,0.18
2024-07-07 10:11:44,95.66,0.17
2024-07-07 10:11:48,77.29,0.18
2024-07-07 10:11:52,82.27,0.18
2024-07-07 10:11:56,71.24,0.18
2024-07-07 10:12:00,92.63,0.17
2024-07-07 10:12:04,94.80,0.18
2024-07-07 10:12:08,73.73,0.17
2024-07-07 10:12:12,100.03,0.17
2024-07-07 10:12:16,0.02,0.17
2024-07-07 10:12:20,0.02,0.17
2024-07-07 10:12:25,0.02,0.18
2024-07-07 10:12:29,80.11,0.18
2024-07-07 10:12:33,79.71,0.18
2024-07-07 10:12:37,72.93,0.18
2024-07-07 10:12:41,69.52,0.18
2024-07-07 10:12:45,83.19,0.18
2024-07-07 10:12:49,69.14,0.18
2024-07-07 10:12:53,92.64,0.18
2024-07-07 10:12:57,86.15,0.17
2024-07-07 10:13:01,78.74,0.18
2024-07-07 10:13:05,76.92,0.18
2024-07-07 10:13:09,96.00,0.18
2024-07-07 10:13:13,99.92,0.18
2024-07-07 10:13:17,116.02,0.17
2024-07-07 10:13:21,119.40,0.17
2024-07-07 10:13:25,92.43,0.17
2024-07-07 10:13:29,0.02,0.18
2024-07-07 10:13:33,87.76,0.18
2024-07-07 10:13:37,74.72,0.18
2024-07-07 10:13:41,74.98,0.18
2024-07-07 10:13:45,88.36,0.18
2024-07-07 10:13:49,70.28,0.18
2024-07-07 10:13:53,79.20,0.18
2024-07-07 10:13:57,85.42,0.17
2024-07-07 10:14:01,73.97,0.18
2024-07-07 10:14:05,84.52,0.18
2024-07-07 10:14:09,80.31,0.17
2024-07-07 10:14:13,90.54,0.18
2024-07-07 10:14:17,82.20,0.18
2024-07-07 10:14:21,95.08,0.18
2024-07-07 10:14:25,91.74,0.18
2024-07-07 10:14:29,82.76,0.17
2024-07-07 10:14:33,0.03,0.17
2024-07-07 10:14:37,0.02,0.17
2024-07-07 10:14:41,0.02,0.18
2024-07-07 10:14:45,74.33,0.18
2024-07-07 10:14:49,71.28,0.18
2024-07-07 10:14:53,0.04,0.17
2024-07-07 10:14:57,0.02,0.17
2024-07-07 10:15:01,0.02,0.18
2024-07-07 10:15:05,78.98,0.18
2024-07-07 10:15:09,83.58,0.18
2024-07-07 10:15:13,0.02,0.17
2024-07-07 10:15:17,0.02,0.17
2024-07-07 10:15:21,0.02,0.17
2024-07-07 10:15:25,0.02,0.18
2024-07-07 10:15:29,80.29,0.18
2024-07-07 10:15:33,82.39,0.17
2024-07-07 10:15:37,0.02,0.18
2024-07-07 10:15:41,0.02,0.18
2024-07-07 10:15:45,0.02,0.18
2024-07-07 10:15:49,76.02,0.18
2024-07-07 10:15:53,79.43,0.18
2024-07-07 10:15:57,80.10,0.18
2024-07-07 10:16:01,80.57,0.17
2024-07-07 10:16:05,88.59,0.18
2024-07-07 10:16:09,98.18,0.18
2024-07-07 10:16:13,103.54,0.18
2024-07-07 10:16:17,0.07,0.17
2024-07-07 10:16:21,0.02,0.17
2024-07-07 10:16:25,0.02,0.18
2024-07-07 10:16:29,73.49,0.17
2024-07-07 10:16:33,71.98,0.18
2024-07-07 10:16:37,84.19,0.17
2024-07-07 10:16:41,83.97,0.18
2024-07-07 10:16:45,96.16,0.18
2024-07-07 10:16:49,95.34,0.18
2024-07-07 10:16:53,84.29,0.18
2024-07-07 10:16:57,0.02,0.17
2024-07-07 10:17:01,0.02,0.17
2024-07-07 10:17:05,0.02,0.17
2024-07-07 10:17:09,0.02,0.18
2024-07-07 10:17:13,91.67,0.18
2024-07-07 10:17:18,79.19,0.18
2024-07-07 10:17:22,96.70,0.18
2024-07-07 10:17:26,93.70,0.18
2024-07-07 10:17:30,97.58,0.17
2024-07-07 10:17:34,104.68,0.18
2024-07-07 10:17:38,75.68,0.18
2024-07-07 10:17:42,27.51,0.17
2024-07-07 10:17:46,0.02,0.17
2024-07-07 10:17:50,0.02,0.17
2024-07-07 10:17:54,0.02,0.17
2024-07-07 10:17:58,41.65,0.17
2024-07-07 10:18:02,101.94,0.18
2024-07-07 10:18:06,83.83,0.18
2024-07-07 10:18:10,84.69,0.18
2024-07-07 10:18:14,90.97,0.18
2024-07-07 10:18:18,65.74,0.18
2024-07-07 10:18:22,95.09,0.18
2024-07-07 10:18:26,87.85,0.18
2024-07-07 10:18:30,91.85,0.18
2024-07-07 10:18:34,94.88,0.18
2024-07-07 10:18:38,85.63,0.18
2024-07-07 10:18:42,97.67,0.17
2024-07-07 10:18:46,114.68,0.18
2024-07-07 10:18:50,81.48,0.18
2024-07-07 10:18:54,89.79,0.18
2024-07-07 10:18:58,25.18,0.17
2024-07-07 10:19:02,0.02,0.17
2024-07-07 10:19:06,0.03,0.17
2024-07-07 10:19:10,0.02,0.18
2024-07-07 10:19:14,77.59,0.18
2024-07-07 10:19:18,75.31,0.18
2024-07-07 10:19:22,92.53,0.18
2024-07-07 10:19:26,77.59,0.18
2024-07-07 10:19:30,77.25,0.18
2024-07-07 10:19:34,84.76,0.18
2024-07-07 10:19:38,78.23,0.18
2024-07-07 10:19:42,86.22,0.18
2024-07-07 10:19:46,90.40,0.18
2024-07-07 10:19:50,92.47,0.18
2024-07-07 10:19:54,99.23,0.18
2024-07-07 10:19:58,81.07,0.18
2024-07-07 10:20:02,90.25,0.18
2024-07-07 10:20:06,99.14,0.18
2024-07-07 10:20:10,87.51,0.17
2024-07-07 10:20:14,0.03,0.17
2024-07-07 10:20:18,0.01,0.17
2024-07-07 10:20:22,0.07,0.18
2024-07-07 10:20:26,82.80,0.17
2024-07-07 10:20:30,80.70,0.17
2024-07-07 10:20:34,90.26,0.18
2024-07-07 10:20:38,77.43,0.18
2024-07-07 10:20:42,75.54,0.18
2024-07-07 10:20:46,85.83,0.18
2024-07-07 10:20:50,86.19,0.18
2024-07-07 10:20:54,99.56,0.18
2024-07-07 10:20:58,99.65,0.19
2024-07-07 10:21:02,97.81,0.18
2024-07-07 10:21:06,86.18,0.18
2024-07-07 10:21:10,90.29,0.18
2024-07-07 10:21:14,94.74,0.18
2024-07-07 10:21:18,95.69,0.18
2024-07-07 10:21:22,89.63,0.18
2024-07-07 10:21:26,0.02,0.18
2024-07-07 10:21:30,0.02,0.18
