time,cpu %,memory %
2024-06-10 16:08:14,30.43,0.10
2024-06-10 16:08:18,34.01,0.10
2024-06-10 16:08:22,2.68,0.10
2024-06-10 16:08:26,0.02,0.10
2024-06-10 16:08:30,0.02,0.10
2024-06-10 16:08:34,0.02,0.10
2024-06-10 16:08:38,0.02,0.10
2024-06-10 16:08:42,0.05,0.10
2024-06-10 16:08:46,0.03,0.10
2024-06-10 16:08:50,0.02,0.10
2024-06-10 16:08:54,0.02,0.10
2024-06-10 16:08:58,83.62,0.11
2024-06-10 16:09:02,86.35,0.10
2024-06-10 16:09:06,30.23,0.10
2024-06-10 16:09:10,0.01,0.10
2024-06-10 16:09:14,0.03,0.10
2024-06-10 16:09:18,33.45,0.10
2024-06-10 16:09:22,29.89,0.10
2024-06-10 16:09:26,28.49,0.10
2024-06-10 16:09:30,0.02,0.10
2024-06-10 16:09:34,0.02,0.10
2024-06-10 16:09:38,32.42,0.10
2024-06-10 16:09:42,49.05,0.10
2024-06-10 16:09:46,3.22,0.10
2024-06-10 16:09:50,0.03,0.10
2024-06-10 16:09:54,0.02,0.10
2024-06-10 16:09:58,3.85,0.11
2024-06-10 16:10:02,4.04,0.10
2024-06-10 16:10:06,0.02,0.10
2024-06-10 16:10:10,0.03,0.10
2024-06-10 16:10:14,0.02,0.10
2024-06-10 16:10:18,0.03,0.10
2024-06-10 16:10:22,0.12,0.11
2024-06-10 16:10:26,83.30,0.11
2024-06-10 16:10:30,33.53,0.10
2024-06-10 16:10:34,39.18,0.10
2024-06-10 16:10:38,43.27,0.10
2024-06-10 16:10:42,51.62,0.10
2024-06-10 16:10:46,54.08,0.10
2024-06-10 16:10:50,50.28,0.10
2024-06-10 16:10:54,3.57,0.10
2024-06-10 16:10:59,0.02,0.10
2024-06-10 16:11:03,0.07,0.10
2024-06-10 16:11:07,80.72,0.10
2024-06-10 16:11:11,5.20,0.10
2024-06-10 16:11:15,4.55,0.10
2024-06-10 16:11:19,4.11,0.10
2024-06-10 16:11:23,6.10,0.10
2024-06-10 16:11:27,5.35,0.10
2024-06-10 16:11:31,90.65,0.10
2024-06-10 16:11:35,0.03,0.10
2024-06-10 16:11:39,0.02,0.10
2024-06-10 16:11:43,0.07,0.10
2024-06-10 16:11:47,0.04,0.10
2024-06-10 16:11:51,0.02,0.10
2024-06-10 16:11:55,0.02,0.10
2024-06-10 16:11:59,0.02,0.10
2024-06-10 16:12:03,67.74,0.10
2024-06-10 16:12:07,64.25,0.10
2024-06-10 16:12:11,83.49,0.10
2024-06-10 16:12:15,49.65,0.11
2024-06-10 16:12:19,55.60,0.10
2024-06-10 16:12:23,52.16,0.10
2024-06-10 16:12:27,46.31,0.10
2024-06-10 16:12:31,0.02,0.10
2024-06-10 16:12:35,0.02,0.10
2024-06-10 16:12:39,86.68,0.10
2024-06-10 16:12:43,5.52,0.10
2024-06-10 16:12:47,8.21,0.10
2024-06-10 16:12:51,5.50,0.10
2024-06-10 16:12:55,5.20,0.10
2024-06-10 16:12:59,8.84,0.10
2024-06-10 16:13:03,9.99,0.10
2024-06-10 16:13:07,60.93,0.10
2024-06-10 16:13:11,0.02,0.10
2024-06-10 16:13:15,0.04,0.10
2024-06-10 16:13:19,0.02,0.10
2024-06-10 16:13:23,23.91,0.10
2024-06-10 16:13:27,47.38,0.10
2024-06-10 16:13:31,44.96,0.11
2024-06-10 16:13:35,62.43,0.10
2024-06-10 16:13:39,48.70,0.10
2024-06-10 16:13:43,74.92,0.11
2024-06-10 16:13:47,16.86,0.10
2024-06-10 16:13:51,5.30,0.10
2024-06-10 16:13:55,0.02,0.10
2024-06-10 16:13:59,0.02,0.10
2024-06-10 16:14:03,0.02,0.10
2024-06-10 16:14:07,0.02,0.10
2024-06-10 16:14:11,0.02,0.10
2024-06-10 16:14:15,0.02,0.10
2024-06-10 16:14:19,42.86,0.10
2024-06-10 16:14:23,6.08,0.10
2024-06-10 16:14:27,31.82,0.10
2024-06-10 16:14:31,49.59,0.10
2024-06-10 16:14:35,37.82,0.10
2024-06-10 16:14:40,37.57,0.10
2024-06-10 16:14:44,64.88,0.10
2024-06-10 16:14:48,0.03,0.10
2024-06-10 16:14:52,0.04,0.10
2024-06-10 16:14:56,0.02,0.10
2024-06-10 16:15:00,35.29,0.10
2024-06-10 16:15:04,5.17,0.10
2024-06-10 16:15:08,3.41,0.10
2024-06-10 16:15:12,3.64,0.10
2024-06-10 16:15:16,4.05,0.10
2024-06-10 16:15:20,36.72,0.11
2024-06-10 16:15:24,38.14,0.10
2024-06-10 16:15:28,4.11,0.09
2024-06-10 16:15:32,0.02,0.09
2024-06-10 16:15:36,0.02,0.09
2024-06-10 16:15:40,0.02,0.09
